Key = c; Letter = g; Scan = 00000001; Down; Time: 16:00:04; 
Key = c; Letter = g; Scan = C0000001;  Up ; Time: 16:00:04; 
Key = c; Letter = h; Scan = 00000001; Down; Time: 16:00:06; 
Key = c; Letter = h; Scan = C0000001;  Up ; Time: 16:00:06; 
Key = c; Letter = l; Scan = 00000001; Down; Time: 16:00:09; 
Key = c; Letter = l; Scan = C0000001;  Up ; Time: 16:00:09; 
Key = c; Letter = h; Scan = 00000001; Down; Time: 16:34:59; 
Key = c; Letter = h; Scan = C0000001;  Up ; Time: 16:34:59; 
Key = c; Letter = j; Scan = 00000001; Down; Time: 16:35:09; 
Key = c; Letter = j; Scan = C0000001;  Up ; Time: 16:35:09; 
Key = c; Letter = i; Scan = 00000001; Down; Time: 16:35:12; 
Key = c; Letter = i; Scan = C0000001;  Up ; Time: 16:35:12; 
Key = c; Letter = o; Scan = 00000001; Down; Time: 16:35:14; 
Key = c; Letter = o; Scan = C0000001;  Up ; Time: 16:35:14; 
Key = c; Letter = t; Scan = 00000001; Down; Time: 16:35:20; 
Key = c; Letter = t; Scan = C0000001;  Up ; Time: 16:35:20; 
Key = c; Letter = u; Scan = 00000001; Down; Time: 16:50:52; 
Key = c; Letter = u; Scan = C0000001;  Up ; Time: 16:50:52; 
Key = c; Letter = g; Scan = 00000001; Down; Time: 16:51:09; 
Key = c; Letter = g; Scan = C0000001;  Up ; Time: 16:51:09; 
Key = c; Letter = u; Scan = 00000001; Down; Time: 16:51:28; 
Key = c; Letter = u; Scan = C0000001;  Up ; Time: 16:51:28; 
Key = c; Letter = k; Scan = 00000001; Down; Time: 16:51:44; 
Key = c; Letter = k; Scan = C0000001;  Up ; Time: 16:51:44; 
Key = c; Letter = o; Scan = 00000001; Down; Time: 16:51:51; 
Key = c; Letter = o; Scan = C0000001;  Up ; Time: 16:51:51; 
Key = c; Letter = u; Scan = 00000001; Down; Time: 16:52:09; 
Key = c; Letter = u; Scan = C0000001;  Up ; Time: 16:52:09; 
Key = c; Letter = j; Scan = 00000001; Down; Time: 16:52:32; 
Key = c; Letter = j; Scan = C0000001;  Up ; Time: 16:52:32; 
Key = c; Letter = i; Scan = 00000001; Down; Time: 16:53:11; 
Key = c; Letter = i; Scan = C0000001;  Up ; Time: 16:53:11; 
Key = ; Letter = ; Scan = 002A0001; Down; Time: 16:55:09; 
Key = [; Letter = ; Scan = 015B0001; Down; Time: 16:55:09; 
Key = %; Letter = ; Scan = 814B0001;  Up ; Time: 16:55:10; 
Key = ; Letter = ; Scan = C02A0001;  Up ; Time: 16:55:10; 
Key = [; Letter = ; Scan = C15B0001;  Up ; Time: 16:55:10; 
Key = [; Letter = ; Scan = 015B0001; Down; Time: 16:55:25; 
Key = %; Letter = ; Scan = 814B0001;  Up ; Time: 16:55:25; 
Key = [; Letter = ; Scan = C15B0001;  Up ; Time: 16:55:25; 
Key = c; Letter = i; Scan = 00000001; Down; Time: 16:55:43; 
Key = c; Letter = i; Scan = C0000001;  Up ; Time: 16:55:43; 
Key = c; Letter = h; Scan = 00000001; Down; Time: 16:56:41; 
Key = c; Letter = h; Scan = C0000001;  Up ; Time: 16:56:41; 
Key = c; Letter = i; Scan = 00000001; Down; Time: 16:56:49; 
Key = c; Letter = i; Scan = C0000001;  Up ; Time: 16:56:49; 
Key = c; Letter = y; Scan = 00000001; Down; Time: 16:57:20; 
Key = c; Letter = y; Scan = C0000001;  Up ; Time: 16:57:20; 
Key = [; Letter = ; Scan = 015B0001; Down; Time: 18:55:44; 
Key = [; Letter = ; Scan = C15B0001;  Up ; Time: 18:55:44; 
Key = V; Letter = v; Scan = 002F0001; Down; Time: 18:55:48; 
Key = V; Letter = v; Scan = C02F0001;  Up ; Time: 18:55:48; 
Key = F; Letter = f; Scan = 00210001; Down; Time: 18:55:48; 
Key = F; Letter = f; Scan = C0210001;  Up ; Time: 18:55:48; 
Key = V; Letter = v; Scan = 002F0001; Down; Time: 18:55:48; 
Key = V; Letter = v; Scan = C02F0001;  Up ; Time: 18:55:48; 
Key = F; Letter = f; Scan = 00210001; Down; Time: 18:55:48; 
Key = F; Letter = f; Scan = C0210001;  Up ; Time: 18:55:48; 

Key = V; Letter = ì; Scan = 002F0001; Down; Time: 18:59:32; 
Key = V; Letter = ì; Scan = C02F0001;  Up ; Time: 18:59:32; 
Key = F; Letter = à; Scan = 00210001; Down; Time: 18:59:32; 
Key = F; Letter = à; Scan = C0210001;  Up ; Time: 18:59:32; 
Key = V; Letter = ì; Scan = 002F0001; Down; Time: 18:59:32; 
Key = V; Letter = ì; Scan = C02F0001;  Up ; Time: 18:59:32; 
Key = F; Letter = à; Scan = 00210001; Down; Time: 18:59:32; 
Key = F; Letter = à; Scan = C0210001;  Up ; Time: 18:59:32; 
Key =  ; Letter =  ; Scan = 00390001; Down; Time: 18:59:33; 
Key =  ; Letter =  ; Scan = C0390001;  Up ; Time: 18:59:33; 
Key = V; Letter = ì; Scan = 002F0001; Down; Time: 18:59:33; 
Key = V; Letter = ì; Scan = C02F0001;  Up ; Time: 18:59:33; 
Key = A; Letter = ô; Scan = 001E0001; Down; Time: 18:59:33; 
